record_date,item_code,quantity,customer
2023-01-04,SAMPLE-A,12,CUST-02
2023-01-05,SAMPLE-A,10,CUST-01
2023-01-05,SAMPLE-B,28,CUST-08
2023-01-05,SAMPLE-B,11,CUST-08
2023-01-05,SAMPLE-B,20,CUST-01
2023-01-06,SAMPLE-A,7,CUST-01
2023-01-06,SAMPLE-B,6,CUST-05
2023-01-06,SAMPLE-B,16,CUST-01
2023-01-06,SAMPLE-B,29,CUST-07
2023-01-10,SAMPLE-A,4,CUST-08
2023-01-10,SAMPLE-B,14,CUST-02
2023-01-10,SAMPLE-B,30,CUST-08
2023-01-10,SAMPLE-B,26,CUST-03
2023-01-10,SAMPLE-B,13,CUST-03
2023-01-11,SAMPLE-B,13,CUST-02
2023-01-11,SAMPLE-B,9,CUST-07
2023-01-12,SAMPLE-A,4,CUST-03
2023-01-12,SAMPLE-B,26,CUST-03
2023-01-12,SAMPLE-B,15,CUST-02
2023-01-12,SAMPLE-B,29,CUST-03
2023-01-13,SAMPLE-A,7,CUST-05
2023-01-13,SAMPLE-A,5,CUST-07
2023-01-13,SAMPLE-B,24,CUST-05
2023-01-16,SAMPLE-A,7,CUST-05
2023-01-16,SAMPLE-B,22,CUST-04
2023-01-16,SAMPLE-B,24,CUST-05
2023-01-17,SAMPLE-B,17,CUST-06
2023-01-17,SAMPLE-B,29,CUST-02
2023-01-18,SAMPLE-A,4,CUST-04
2023-01-18,SAMPLE-A,10,CUST-05
2023-01-18,SAMPLE-B,6,CUST-07
2023-01-18,SAMPLE-B,27,CUST-01
2023-01-18,SAMPLE-B,27,CUST-01
2023-01-18,SAMPLE-B,11,CUST-02
2023-01-18,SAMPLE-C,3,CUST-01
2023-01-19,SAMPLE-B,25,CUST-05
2023-01-19,SAMPLE-B,12,CUST-07
2023-01-20,SAMPLE-A,6,CUST-06
2023-01-20,SAMPLE-B,12,CUST-05
2023-01-20,SAMPLE-B,29,CUST-05
2023-01-23,SAMPLE-A,12,CUST-06
2023-01-23,SAMPLE-B,26,CUST-08
2023-01-23,SAMPLE-B,30,CUST-01
2023-01-23,SAMPLE-B,13,CUST-04
2023-01-24,SAMPLE-A,4,CUST-02
2023-01-24,SAMPLE-B,25,CUST-03
2023-01-25,SAMPLE-A,3,CUST-01
2023-01-25,SAMPLE-B,21,CUST-07
2023-01-25,SAMPLE-B,8,CUST-04
2023-01-26,SAMPLE-B,30,CUST-08
2023-01-26,SAMPLE-B,5,CUST-06
2023-01-26,SAMPLE-B,26,CUST-02
2023-01-26,SAMPLE-B,15,CUST-05
2023-01-26,SAMPLE-B,30,CUST-08
2023-01-27,SAMPLE-A,11,CUST-07
2023-01-27,SAMPLE-B,24,CUST-06
2023-01-27,SAMPLE-B,29,CUST-01
2023-01-30,SAMPLE-B,22,CUST-06
2023-01-30,SAMPLE-B,22,CUST-01
2023-01-31,SAMPLE-B,14,CUST-01
2023-01-31,SAMPLE-B,6,CUST-04
2023-01-31,SAMPLE-B,24,CUST-05
2023-02-01,SAMPLE-A,5,CUST-06
2023-02-02,SAMPLE-A,10,CUST-05
2023-02-02,SAMPLE-A,12,CUST-07
2023-02-02,SAMPLE-B,18,CUST-08
2023-02-02,SAMPLE-C,2,CUST-04
2023-02-03,SAMPLE-B,18,CUST-05
2023-02-03,SAMPLE-B,27,CUST-04
2023-02-06,SAMPLE-A,10,CUST-05
2023-02-06,SAMPLE-A,12,CUST-01
2023-02-06,SAMPLE-A,9,CUST-07
2023-02-07,SAMPLE-B,13,CUST-03
2023-02-08,SAMPLE-A,4,CUST-08
2023-02-08,SAMPLE-A,12,CUST-02
2023-02-08,SAMPLE-A,7,CUST-04
2023-02-08,SAMPLE-B,5,CUST-01
2023-02-09,SAMPLE-A,4,CUST-05
2023-02-09,SAMPLE-B,11,CUST-01
2023-02-09,SAMPLE-B,27,CUST-08
2023-02-09,SAMPLE-B,9,CUST-02
2023-02-09,SAMPLE-B,18,CUST-02
2023-02-10,SAMPLE-A,9,CUST-08
2023-02-10,SAMPLE-A,11,CUST-05
2023-02-10,SAMPLE-B,23,CUST-04
2023-02-10,SAMPLE-C,3,CUST-02
2023-02-13,SAMPLE-B,6,CUST-08
2023-02-13,SAMPLE-B,15,CUST-06
2023-02-13,SAMPLE-B,19,CUST-05
2023-02-13,SAMPLE-C,3,CUST-01
2023-02-14,SAMPLE-B,30,CUST-07
2023-02-14,SAMPLE-B,20,CUST-02
2023-02-14,SAMPLE-B,22,CUST-05
2023-02-14,SAMPLE-C,3,CUST-03
2023-02-15,SAMPLE-A,10,CUST-06
2023-02-15,SAMPLE-B,20,CUST-06
2023-02-15,SAMPLE-C,3,CUST-04
2023-02-16,SAMPLE-B,13,CUST-07
2023-02-16,SAMPLE-B,25,CUST-01
2023-02-16,SAMPLE-B,8,CUST-06
2023-02-16,SAMPLE-B,11,CUST-08
2023-02-16,SAMPLE-B,19,CUST-05
2023-02-16,SAMPLE-B,28,CUST-04
2023-02-16,SAMPLE-B,21,CUST-08
2023-02-17,SAMPLE-A,4,CUST-04
2023-02-17,SAMPLE-B,6,CUST-04
2023-02-17,SAMPLE-B,17,CUST-07
2023-02-17,SAMPLE-B,18,CUST-07
2023-02-20,SAMPLE-A,5,CUST-06
2023-02-20,SAMPLE-A,3,CUST-05
2023-02-20,SAMPLE-B,6,CUST-04
2023-02-21,SAMPLE-B,24,CUST-06
2023-02-21,SAMPLE-B,5,CUST-01
2023-02-21,SAMPLE-B,5,CUST-06
2023-02-21,SAMPLE-B,6,CUST-04
2023-02-22,SAMPLE-A,7,CUST-05
2023-02-22,SAMPLE-A,12,CUST-08
2023-02-22,SAMPLE-B,13,CUST-07
2023-02-22,SAMPLE-B,28,CUST-05
2023-02-22,SAMPLE-C,3,CUST-04
2023-02-23,SAMPLE-B,11,CUST-06
2023-02-23,SAMPLE-B,23,CUST-04
2023-02-23,SAMPLE-C,4,CUST-04
2023-02-24,SAMPLE-B,15,CUST-06
2023-02-24,SAMPLE-B,13,CUST-07
2023-02-24,SAMPLE-B,28,CUST-04
2023-02-24,SAMPLE-B,22,CUST-03
2023-02-24,SAMPLE-B,6,CUST-02
2023-02-24,SAMPLE-B,9,CUST-03
2023-02-24,SAMPLE-C,3,CUST-04
2023-02-27,SAMPLE-A,5,CUST-03
2023-02-27,SAMPLE-C,4,CUST-02
2023-02-28,SAMPLE-A,10,CUST-05
2023-02-28,SAMPLE-B,22,CUST-03
2023-02-28,SAMPLE-B,24,CUST-07
2023-02-28,SAMPLE-B,18,CUST-03
2023-03-01,SAMPLE-B,26,CUST-01
2023-03-02,SAMPLE-A,10,CUST-06
2023-03-02,SAMPLE-A,7,CUST-05
2023-03-02,SAMPLE-B,25,CUST-07
2023-03-03,SAMPLE-B,6,CUST-08
2023-03-03,SAMPLE-B,18,CUST-01
2023-03-03,SAMPLE-B,22,CUST-07
2023-03-03,SAMPLE-B,21,CUST-07
2023-03-03,SAMPLE-B,10,CUST-04
2023-03-03,SAMPLE-B,30,CUST-04
2023-03-03,SAMPLE-B,22,CUST-05
2023-03-03,SAMPLE-C,3,CUST-01
2023-03-06,SAMPLE-A,12,CUST-08
2023-03-06,SAMPLE-A,12,CUST-05
2023-03-06,SAMPLE-A,12,CUST-07
2023-03-06,SAMPLE-B,22,CUST-05
2023-03-06,SAMPLE-B,22,CUST-01
2023-03-06,SAMPLE-B,26,CUST-03
2023-03-06,SAMPLE-B,12,CUST-05
2023-03-06,SAMPLE-B,21,CUST-04
2023-03-06,SAMPLE-C,2,CUST-02
2023-03-07,SAMPLE-A,6,CUST-01
2023-03-07,SAMPLE-A,5,CUST-04
2023-03-07,SAMPLE-A,6,CUST-05
2023-03-07,SAMPLE-A,10,CUST-04
2023-03-07,SAMPLE-B,19,CUST-07
2023-03-07,SAMPLE-B,24,CUST-05
2023-03-07,SAMPLE-B,20,CUST-08
2023-03-07,SAMPLE-B,25,CUST-01
2023-03-08,SAMPLE-A,12,CUST-03
2023-03-08,SAMPLE-A,7,CUST-06
2023-03-08,SAMPLE-C,4,CUST-04
2023-03-09,SAMPLE-B,12,CUST-08
2023-03-09,SAMPLE-B,25,CUST-05
2023-03-10,SAMPLE-A,3,CUST-06
2023-03-10,SAMPLE-B,29,CUST-01
2023-03-10,SAMPLE-B,29,CUST-05
2023-03-13,SAMPLE-B,9,CUST-01
2023-03-13,SAMPLE-B,18,CUST-07
2023-03-13,SAMPLE-B,30,CUST-02
2023-03-13,SAMPLE-B,14,CUST-04
2023-03-14,SAMPLE-A,12,CUST-06
2023-03-14,SAMPLE-A,4,CUST-06
2023-03-14,SAMPLE-B,16,CUST-06
2023-03-14,SAMPLE-B,29,CUST-04
2023-03-15,SAMPLE-B,7,CUST-03
2023-03-15,SAMPLE-B,18,CUST-02
2023-03-15,SAMPLE-B,20,CUST-03
2023-03-15,SAMPLE-B,21,CUST-07
2023-03-15,SAMPLE-B,25,CUST-05
2023-03-15,SAMPLE-B,14,CUST-02
2023-03-15,SAMPLE-B,22,CUST-05
2023-03-16,SAMPLE-A,3,CUST-03
2023-03-16,SAMPLE-A,11,CUST-01
2023-03-16,SAMPLE-A,12,CUST-05
2023-03-16,SAMPLE-B,14,CUST-01
2023-03-16,SAMPLE-B,8,CUST-01
2023-03-16,SAMPLE-B,18,CUST-03
2023-03-16,SAMPLE-B,29,CUST-06
2023-03-17,SAMPLE-A,12,CUST-07
2023-03-17,SAMPLE-A,7,CUST-07
2023-03-17,SAMPLE-A,7,CUST-05
2023-03-17,SAMPLE-A,12,CUST-02
2023-03-17,SAMPLE-B,12,CUST-02
2023-03-20,SAMPLE-A,4,CUST-06
2023-03-20,SAMPLE-B,7,CUST-04
2023-03-20,SAMPLE-B,24,CUST-03
2023-03-20,SAMPLE-B,5,CUST-02
2023-03-21,SAMPLE-B,8,CUST-01
2023-03-21,SAMPLE-B,22,CUST-07
2023-03-21,SAMPLE-B,12,CUST-02
2023-03-21,SAMPLE-C,3,CUST-04
2023-03-21,SAMPLE-C,1,CUST-01
2023-03-22,SAMPLE-A,11,CUST-05
2023-03-22,SAMPLE-B,25,CUST-06
2023-03-22,SAMPLE-B,11,CUST-05
2023-03-22,SAMPLE-B,26,CUST-06
2023-03-22,SAMPLE-B,16,CUST-01
2023-03-22,SAMPLE-B,29,CUST-04
2023-03-22,SAMPLE-B,13,CUST-06
2023-03-23,SAMPLE-A,9,CUST-06
2023-03-23,SAMPLE-B,6,CUST-03
2023-03-23,SAMPLE-B,10,CUST-01
2023-03-24,SAMPLE-A,12,CUST-01
2023-03-24,SAMPLE-A,7,CUST-08
2023-03-24,SAMPLE-A,3,CUST-07
2023-03-24,SAMPLE-A,12,CUST-01
2023-03-24,SAMPLE-A,8,CUST-02
2023-03-24,SAMPLE-A,5,CUST-01
2023-03-24,SAMPLE-B,28,CUST-07
2023-03-27,SAMPLE-B,23,CUST-06
2023-03-27,SAMPLE-B,14,CUST-02
2023-03-27,SAMPLE-C,3,CUST-01
2023-03-28,SAMPLE-A,5,CUST-06
2023-03-28,SAMPLE-A,3,CUST-04
2023-03-28,SAMPLE-B,15,CUST-08
2023-03-28,SAMPLE-B,6,CUST-08
2023-03-28,SAMPLE-B,9,CUST-02
2023-03-28,SAMPLE-B,9,CUST-08
2023-03-28,SAMPLE-B,25,CUST-06
2023-03-28,SAMPLE-B,26,CUST-02
2023-03-29,SAMPLE-A,7,CUST-05
2023-03-29,SAMPLE-B,29,CUST-01
2023-03-29,SAMPLE-B,23,CUST-07
2023-03-30,SAMPLE-B,21,CUST-07
2023-03-30,SAMPLE-B,25,CUST-04
2023-03-30,SAMPLE-B,18,CUST-01
2023-03-30,SAMPLE-B,11,CUST-08
2023-03-31,SAMPLE-A,8,CUST-02
2023-03-31,SAMPLE-B,21,CUST-05
2023-03-31,SAMPLE-B,10,CUST-04
2023-04-03,SAMPLE-B,25,CUST-02
2023-04-03,SAMPLE-B,12,CUST-06
2023-04-03,SAMPLE-C,2,CUST-02
2023-04-04,SAMPLE-A,3,CUST-08
2023-04-04,SAMPLE-B,25,CUST-07
2023-04-04,SAMPLE-B,26,CUST-02
2023-04-04,SAMPLE-B,25,CUST-05
2023-04-05,SAMPLE-B,5,CUST-07
